id,name,product_type
101,ミキプルーン,1
102,ミキ　エコー３７,1
103,ミキ　プロティーン９５,1
104,ミキ　バイオーＣ,1
105,ミキ　バイオ－Ｃ顆粒,1
106,ミキ　ジョイントビューティー,1
107,ミキ　ジョイントビューティー顆粒,1
108,ミキ　グルコエイド－Ｌ,1
109,ミキプルーン　ディーオー,1
110,ミキ　Ｇシックス,1
111,ミキ　アスプリプラス,1
112,ミキプルーン　スティック,1
113,ミキ　フローライフトリニティ,1
114,ミキ　フローライフトリニティ顆粒,1
115,ミキプルーン　ビューティーコラーゲン,1
201,ミキ　トリートメントヘアシャンプー,2
202,ミキ　トリートメントヘアリンス,2
203,ミキ　トリートメントヘアカラーブラウン,2
204,ミキ　トリートメントヘアカラーブラック,2
205,ミキ　スキンウェル,2
206,湯草Ａ,2
207,ミキ　ボディソープ　Ｎ,2
208,アルゴサンテ,2
209,ミキ　クリーンメイト,2
210,ミキ　クリーンライト,2
211,ＧＣ　シートマスク,2
301,ビューティーフレッシュナー,3
302,アクティベイター　デイ　アンド　ナイト,3
303,エサンス　コンブレ,3
304,ＢＲコンセントレイト,3
305,ミキ　ビブランポー　エマルジョン,3
306,デファンス　ポー　デイスクリーン,3
307,ミキコ　ルースパウダー,3
308,ビオネージュ　デイケア,3
309,ビオネージュ　ナイトケア,3
310,ビオネージュ　リバイタライジングカプセル,3
311,ビオネージュ　モイストトナー,3
312,ビオネージュ　アイケア,3
313,ドゥースデュレ　ローションメイユール,3
314,ドゥースデュレ　クレームピュイサンテ,3
315,ドゥースデュレ　レチノレアリテ,3
316,エアステリニエ　ムースウオッシュ,3
317,エアステリニエ　モイスチャーローション,3
318,エアステリニエ　２４Ｈクリーム,3
319,クレンジングオイル,3
320,クリアリングトニック,3
321,リクィドメイクアップＮ１,3
322,リクィドメイクアップＮ２,3
323,リクィドメイクアップＮ３,3
324,ミキコ　パウダリーファンデーションＰ０１,3
325,ミキコ　クリーム　ソフトファンデーション,3
326,ミキコ　パウダーチーク,3
328,ミキコ　リップベース,3
329,ミキコ　リキッドファンデーションピンク,3
330,ミキコ　リキッドファンデーションベージュ,3
