trading_id,name,amount
1,ミキ　エコー３７,4
1,ミキ　フローライフトリニティ顆粒,4
1,ミキ　トリートメントヘアシャンプー,4
1,ミキ　トリートメントヘアリンス,4
1,アクティベイター　デイ　アンド　ナイト,12
1,エサンス　コンブレ,12
1,ＢＲコンセントレイト,4
1,ミキ　ビブランポー　エマルジョン,4
1,ビオネージュ　デイケア,4
1,ビオネージュ　リバイタライジングカプセル,16
1,ドゥースデュレ　ローションメイユール,12
1,ドゥースデュレ　クレームピュイサンテ,20
2,ミキ　プロティーン９５,12
2,ミキ　アスプリプラス,24
2,デファンス　ポー　デイスクリーン,4
3,ミキプルーン,16
3,ミキ　エコー３７,10
3,ミキ　バイオ－Ｃ顆粒,10
3,ミキ　アスプリプラス,20
3,ミキプルーン　スティック,4
4,ミキプルーン,4
4,ミキ　エコー３７,4
4,ミキ　バイオ－Ｃ顆粒,8
4,ミキ　Ｇシックス,12
4,ミキ　フローライフトリニティ顆粒,4
4,アクティベイター　デイ　アンド　ナイト,4
4,エサンス　コンブレ,6
4,ミキ　ビブランポー　エマルジョン,4
4,デファンス　ポー　デイスクリーン,4
4,ビオネージュ　リバイタライジングカプセル,8
4,ビオネージュ　アイケア,4
4,ドゥースデュレ　ローションメイユール,8
4,ドゥースデュレ　クレームピュイサンテ,8
4,エアステリニエ　モイスチャーローション,8
4,エアステリニエ　２４Ｈクリーム,4
4,クレンジングオイル,4
4,ミキコ　クリーム　ソフトファンデーション,4
5,ミキプルーン,3
5,ミキ　エコー３７,2
5,ミキ　プロティーン９５,1
5,ミキ　バイオ－Ｃ顆粒,2
5,ミキ　ジョイントビューティー顆粒,1
5,ミキ　Ｇシックス,2
5,ミキ　アスプリプラス,4
5,ミキプルーン　スティック,1
5,ミキ　ビブランポー　エマルジョン,2
5,エアステリニエ　モイスチャーローション,1
5,エアステリニエ　２４Ｈクリーム,1
6,リクィドメイクアップＮ１,2
7,ミキプルーン,8
7,ミキ　プロティーン９５,8
7,ミキ　ジョイントビューティー顆粒,4
7,ミキ　Ｇシックス,4
7,ミキ　アスプリプラス,10
7,ミキプルーン　スティック,4
7,リクィドメイクアップＮ１,2
8,ミキプルーン　スティック,4
9,ミキ　プロティーン９５,8
9,ミキ　バイオ－Ｃ顆粒,12
9,ミキ　ジョイントビューティー顆粒,4
9,ミキ　Ｇシックス,8
9,ミキプルーン　スティック,4
9,ミキ　フローライフトリニティ顆粒,4
10,ミキプルーン,8
10,ミキ　プロティーン９５,2
10,ミキ　バイオ－Ｃ顆粒,4
10,ミキ　ジョイントビューティー顆粒,4
10,ミキ　トリートメントヘアシャンプー,1
10,ミキ　トリートメントヘアリンス,1
11,ミキプルーン,8
11,ミキ　エコー３７,8
11,ミキ　プロティーン９５,8
11,ミキ　バイオーＣ,8
11,ミキ　バイオ－Ｃ顆粒,4
11,ミキ　Ｇシックス,8
11,ミキ　アスプリプラス,8
11,ミキ　ジョイントビューティー,8
12,ミキ　エコー３７,4
12,ミキ　バイオ－Ｃ顆粒,4
12,ミキ　ジョイントビューティー顆粒,4
12,ミキ　アスプリプラス,4
12,ミキ　クリーンメイト,2
12,デファンス　ポー　デイスクリーン,2
13,ミキプルーン,12
13,ミキ　エコー３７,12
13,ミキ　プロティーン９５,4
13,ミキ　グルコエイド－Ｌ,4
13,ミキ　Ｇシックス,12
13,ミキ　アスプリプラス,12
13,ミキ　フローライフトリニティ顆粒,4
13,ミキ　スキンウェル,4
13,アクティベイター　デイ　アンド　ナイト,4
13,エサンス　コンブレ,12
13,ミキ　ビブランポー　エマルジョン,4
13,デファンス　ポー　デイスクリーン,4
13,ビオネージュ　リバイタライジングカプセル,8
13,ドゥースデュレ　ローションメイユール,4
13,ドゥースデュレ　クレームピュイサンテ,8
13,エアステリニエ　モイスチャーローション,4
13,エアステリニエ　２４Ｈクリーム,4
13,クレンジングオイル,4
14,ミキ　エコー３７,8
14,ミキ　プロティーン９５,12
14,ミキ　バイオ－Ｃ顆粒,4
14,ミキ　ジョイントビューティー顆粒,4
14,ミキ　グルコエイド－Ｌ,4
14,ミキ　Ｇシックス,8
14,ミキ　アスプリプラス,8
14,ミキプルーン　スティック,8
14,ミキ　フローライフトリニティ顆粒,4
15,ミキ　プロティーン９５,4
15,ミキ　Ｇシックス,4
16,ミキ　エコー３７,16
16,ミキ　プロティーン９５,8
16,ミキ　ジョイントビューティー顆粒,4
16,ミキ　Ｇシックス,4
16,ミキ　アスプリプラス,12
17,ミキプルーン,8
17,ミキ　プロティーン９５,3
18,ミキプルーン,16
18,ミキ　エコー３７,12
18,ミキ　プロティーン９５,20
18,ミキ　バイオ－Ｃ顆粒,20
18,ミキ　ジョイントビューティー顆粒,8
18,ミキ　Ｇシックス,24
18,ミキ　アスプリプラス,20
18,ミキ　フローライフトリニティ,12
18,ミキ　スキンウェル,4
19,ミキプルーン,6
19,ミキ　エコー３７,2
19,ミキ　プロティーン９５,8
19,ミキ　バイオ－Ｃ顆粒,8
19,ミキ　Ｇシックス,5
19,ミキ　フローライフトリニティ顆粒,8
19,ミキ　スキンウェル,1
19,クレンジングオイル,2
20,ミキプルーン,4
20,ミキ　エコー３７,8
20,ミキ　プロティーン９５,4
20,ミキ　バイオ－Ｃ顆粒,4
20,ミキ　アスプリプラス,8
20,ミキ　フローライフトリニティ顆粒,8
20,クレンジングオイル,4
21,ミキプルーン,16
21,ミキ　エコー３７,8
21,ミキ　プロティーン９５,8
21,ミキ　バイオーＣ,4
21,ミキ　ジョイントビューティー顆粒,8
21,ミキプルーン　ディーオー,4
21,ミキ　Ｇシックス,12
21,ミキ　アスプリプラス,16
21,ミキ　フローライフトリニティ顆粒,4
22,ミキプルーン,8
22,ミキ　エコー３７,8
22,ミキ　プロティーン９５,8
22,ミキ　バイオ－Ｃ顆粒,8
22,ミキ　ジョイントビューティー顆粒,4
22,ミキ　Ｇシックス,16
22,ミキ　アスプリプラス,20
22,ミキプルーン　スティック,8
22,アクティベイター　デイ　アンド　ナイト,4
22,エサンス　コンブレ,12
22,ミキ　ビブランポー　エマルジョン,4
22,デファンス　ポー　デイスクリーン,4
22,ビオネージュ　リバイタライジングカプセル,8
22,エアステリニエ　モイスチャーローション,4
22,エアステリニエ　２４Ｈクリーム,4
22,クレンジングオイル,4
23,ミキプルーン,8
23,ミキ　エコー３７,8
23,ミキ　プロティーン９５,12
23,ミキ　バイオ－Ｃ顆粒,12
23,ミキ　ジョイントビューティー顆粒,12
23,ミキ　Ｇシックス,8
23,ミキ　アスプリプラス,16
23,ミキプルーン　スティック,4
24,ミキプルーン,8
24,ミキ　バイオーＣ,4
24,ミキ　グルコエイド－Ｌ,4
24,ミキ　フローライフトリニティ,4
24,ミキ　フローライフトリニティ顆粒,4
24,ビオネージュ　アイケア,4
24,ドゥースデュレ　ローションメイユール,4
24,ドゥースデュレ　クレームピュイサンテ,4
24,ミキコ　クリーム　ソフトファンデーション,4
25,ミキプルーン,12
25,ミキ　エコー３７,12
25,ミキ　プロティーン９５,20
25,ミキ　バイオ－Ｃ顆粒,20
25,ミキ　ジョイントビューティー顆粒,12
25,ミキ　Ｇシックス,8
25,ミキ　アスプリプラス,12
25,ミキプルーン　スティック,4
26,ミキ　エコー３７,4
26,ミキ　バイオ－Ｃ顆粒,4
26,ミキ　Ｇシックス,4
26,ミキ　アスプリプラス,8
27,ミキ　エコー３７,8
27,ミキ　プロティーン９５,4
27,ミキ　バイオ－Ｃ顆粒,8
27,ミキ　グルコエイド－Ｌ,4
27,ミキ　Ｇシックス,4
27,ミキ　アスプリプラス,8
27,ミキプルーン　スティック,8
27,ミキ　フローライフトリニティ,8
27,ＢＲコンセントレイト,4
27,デファンス　ポー　デイスクリーン,4
27,ビオネージュ　リバイタライジングカプセル,8
27,ドゥースデュレ　ローションメイユール,4
27,クレンジングオイル,4
27,リクィドメイクアップＮ１,4
28,ミキプルーン,4
28,ミキ　エコー３７,8
28,ミキ　プロティーン９５,8
28,ミキ　アスプリプラス,36
28,ＢＲコンセントレイト,4
28,ミキ　ビブランポー　エマルジョン,4
28,デファンス　ポー　デイスクリーン,4
28,ビオネージュ　リバイタライジングカプセル,4
28,ドゥースデュレ　ローションメイユール,4
28,ドゥースデュレ　クレームピュイサンテ,4
29,ミキ　エコー３７,8
29,ミキ　プロティーン９５,4
29,ミキ　バイオ－Ｃ顆粒,8
29,ミキ　グルコエイド－Ｌ,4
29,ミキ　Ｇシックス,4
29,ミキ　アスプリプラス,8
29,ミキプルーン　スティック,8
29,ミキ　フローライフトリニティ,8
29,ＢＲコンセントレイト,4
29,デファンス　ポー　デイスクリーン,4
29,ビオネージュ　リバイタライジングカプセル,8
29,ドゥースデュレ　ローションメイユール,4
29,クレンジングオイル,4
29,リクィドメイクアップＮ１,4
30,ミキプルーン,12
30,ミキ　エコー３７,4
30,ミキ　プロティーン９５,8
30,ミキ　バイオ－Ｃ顆粒,4
30,ミキ　ジョイントビューティー顆粒,4
31,ミキプルーン,8
31,ミキ　エコー３７,8
31,ミキ　アスプリプラス,12
31,ミキ　フローライフトリニティ顆粒,12
32,ミキプルーン,8
32,ミキ　バイオ－Ｃ顆粒,8
32,ＢＲコンセントレイト,4
32,ミキ　ビブランポー　エマルジョン,4
32,デファンス　ポー　デイスクリーン,4
32,ビオネージュ　リバイタライジングカプセル,2
32,ビオネージュ　モイストトナー,4
32,エアステリニエ　２４Ｈクリーム,4
32,ミキコ　クリーム　ソフトファンデーション,2
33,ミキプルーン,4
33,ミキ　エコー３７,4
33,ミキ　バイオ－Ｃ顆粒,4
33,ミキ　アスプリプラス,6
33,ビオネージュ　モイストトナー,1
33,ビオネージュ　アイケア,1
34,ミキプルーン,5
34,ミキ　エコー３７,6
34,ミキ　プロティーン９５,5
34,ミキ　バイオ－Ｃ顆粒,5
34,ミキ　ジョイントビューティー顆粒,6
34,ミキ　Ｇシックス,4
34,ミキ　アスプリプラス,5
34,ミキ　フローライフトリニティ,4
35,ミキプルーン,4
35,ミキ　エコー３７,4
35,ミキ　プロティーン９５,3
35,ミキ　バイオ－Ｃ顆粒,4
35,ミキ　ジョイントビューティー顆粒,4
35,ミキ　Ｇシックス,4
35,ミキ　アスプリプラス,6
35,ミキ　フローライフトリニティ顆粒,2
35,ミキ　ジョイントビューティー,1
35,ミキ　トリートメントヘアシャンプー,1
35,ミキ　トリートメントヘアリンス,1
35,ミキ　トリートメントヘアカラーブラック,1
35,ミキ　ビブランポー　エマルジョン,2
35,デファンス　ポー　デイスクリーン,1
35,エアステリニエ　モイスチャーローション,1
35,エアステリニエ　２４Ｈクリーム,1
36,ミキ　エコー３７,4
36,ミキ　バイオ－Ｃ顆粒,2
36,ミキ　ジョイントビューティー顆粒,3
36,ミキ　Ｇシックス,6
36,ミキ　アスプリプラス,3
36,ミキ　フローライフトリニティ顆粒,2
37,ミキプルーン,4
37,ミキ　エコー３７,8
37,ミキ　プロティーン９５,8
37,ミキ　アスプリプラス,36
37,ＢＲコンセントレイト,4
37,ミキ　ビブランポー　エマルジョン,4
37,デファンス　ポー　デイスクリーン,4
37,ビオネージュ　リバイタライジングカプセル,4
37,ドゥースデュレ　ローションメイユール,4
37,ドゥースデュレ　クレームピュイサンテ,4
38,ミキコ　パウダーチーク,20
39,ミキプルーン,17
39,ミキ　エコー３７,6
39,ミキ　プロティーン９５,2
39,ミキ　ジョイントビューティー顆粒,2
39,ミキプルーン　ディーオー,1
39,ミキ　アスプリプラス,8
39,ミキプルーン　スティック,4
40,ミキプルーン,8
40,ミキ　プロティーン９５,4
40,ミキ　バイオ－Ｃ顆粒,8
40,ミキ　アスプリプラス,8
40,ビオネージュ　リバイタライジングカプセル,8
